,Year,Age,Sex,Activity,Species,Country,Fatal_Y_N,Activity_Regex,Sex_Regex,age_regex,Species_regex
4595,1946.0,30,M,Swimming after a tennis ball,4.3 m [14'] shark,AUSTRALIA,Y,swimming,m,30,4.3 m [14'] shark
4596,1946.0,12,M,"Fishing, probably with a net",,IRAN,N,fishing,m,12,
4597,1946.0,12,M,Swimming ,Possibly C. leucas,IRAN,N,swimming,m,12,possibly c. leucas
4598,1946.0,14,M,Bathing,,INDIA,N,bathing,m,14,
4600,1946.0,17,M,Swimming,,AUSTRALIA,Y,swimming,m,17,
4602,1946.0,28,M,Fishing,,AUSTRALIA,N,fishing,m,28,
4603,1946.0,21,M,Treading water,,SOUTH AFRICA,N,treading water,m,21,
4604,1946.0,18,M,Standing,"White shark, 4.2 m [13'9""] ",AUSTRALIA,N,standing,m,18,White shark
4605,1946.0,18,M,Swimming ,,SOUTH AFRICA,N,swimming,m,18,
4606,1946.0,15,M,Treading water,,SOUTH AFRICA,N,treading water,m,15,
4609,1946.0,18,M,Jumping in swells,1.5 m [5'] shark,SOUTH AFRICA,N,jumping in swells,m,18,1.5 m [5'] shark
4610,1946.0,14,F,Swimming,,AUSTRALIA,Y,swimming,f,14,
4611,1946.0,24,M,Body surfing,,SOUTH AFRICA,N,surfing,m,24,
4616,1945.0,20,M,American minesweeper USS YMS-472 foundered in a typhoon - swimming to shore,,OKINAWA,N,swimming,m,20,
4618,1945.0,13,M,Swimming,,IRAN,N,swimming,m,13,
4625,1945.0,37,M,Walking,Thought to involve a Zambesi shark,SOUTH AFRICA,N,walking,m,37,thought to involve a zambesi shark
4629,1945.0,8 or 10,F,Bathing with her mother,,PANAMA,N,bathing,f,8,
4630,1945.0,15,M,Swimming,Bull shark,IRAQ,N,swimming,m,15,Bull shark
4631,1944.0,19,M,Swimming near life raft,9' shark,PHILIPPINES,N,swimming,m,19,9' shark
4641,1944.0,13,M,Swimming,,USA,N,swimming,m,13,
4643,1944.0,19,M,Swimming ,,SOUTH AFRICA,Y,swimming,m,19,
4644,1944.0,17,M,Swimming,"White shark, according to witnesses",SOUTH AFRICA,Y,swimming,m,17,White shark
4646,1944.0,15,F,Bathing,1.8 m [6'] blacktip shark or spinner shark,USA,N,bathing,f,15,Blacktip shark
4650,1944.0,18,M,Treading water,,SOUTH AFRICA,N,treading water,m,18,
4651,1944.0,23,M,Standing,,SOUTH AFRICA,Y,standing,m,23,
4652,1944.0,16,M,Treading water,,SOUTH AFRICA,N,treading water,m,16,
4654,1944.0,12,M,Bathing,,INDIA,Y,bathing,m,12,
4655,1944.0,22,M,Body surfing,,SOUTH AFRICA,Y,surfing,m,22,
4657,1944.0,14,M,Surfing,,AUSTRALIA,N,surfing,m,14,
4658,1944.0,26,M,Swimming,,SOUTH AFRICA,Y,swimming,m,26,
4662,1943.0,17,M,Treading water,,SOUTH AFRICA,Y,treading water,m,17,
4667,1943.0,20,M,Dived overboard to check propeller of US Navy motor torpedo boat,"White shark, 2 m [6'9""]  (Tooth fragment recovered from victim's shoulder & identified by J.T. Nicholls)",PANAMA,Y,dived overboard to check propeller of us navy motor torpedo boat,m,20,White shark
4671,1943.0,68,M,Swimming,Invalid,MEXICO,,swimming,m,68,invalid
4672,1943.0,18,M,Fishing for cod,"White shark, 3.9 m, 550 kg, male",AUSTRALIA,N,fishing,m,18,White shark
4674,1943.0,26,M,"S2N Navy scout plane went down, E.H. Almond & Lieut A.G. Reading in water",,CENTRAL PACIFIC,N,"s2n navy scout plane went down, e.h. almond & lieut a.g. reading in water",m,26,
4676,1943.0,F,M,Hospital Ship Centaur torpedoed & sunk by the Japanese submarine I-177,,AUSTRALIA,Y,hospital ship centaur torpedoed & sunk by the japanese submarine i-177,m,,
4679,1943.0,31,M,Swimming,,SOUTH AFRICA,Y,swimming,m,31,
4686,1943.0,22,M,Swimming,,IRAQ,N,swimming,m,22,
4690,1942.0,15,F,Dog paddling or standing,Bull shark,AUSTRALIA,Y,paddling,f,15,Bull shark
4692,1942.0,38,M,Swimming,,SOUTH AFRICA,N,swimming,m,38,
4693,1942.0,19,M,Thrown from destroyer when shell hit,,SOLOMON ISLANDS,N,thrown from destroyer when shell hit,m,19,
4698,1942.0,18,M,Swimming ,"White shark, 4.5 m  to 6 m [14'9"" to 20'] according to witnesses",SOUTH AFRICA,Y,swimming,m,18,White shark
4701,1942.0,25,M,"His ship, the US destroyer Duncan DD 485, had been  sunk by crossfire from Japanese warships. He was wearing a kapok lifejacket & using 2 aluminum powder tins for floatation  ",,SOLOMON ISLANDS,N,"his ship, the us destroyer duncan dd 485, had been  sunk by crossfire from japanese warships. he was wearing a kapok lifejacket & using 2 aluminum powder tins for floatation  ",m,25,
4704,1942.0,24,M,Treading water,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",AUSTRALIA,N,treading water,m,24,Tiger shark
4707,1942.0,32,M,The SS Potlach was torpedoed & sunk by the U-153 on 27-Jun-1942. ,,ATLANTIC OCEAN,Y,the ss potlach was torpedoed & sunk by the u-153 on 27-jun-1942. ,m,32,
4708,1942.0,20,M,Sculling,Porbeagle shark,ITALY,N,sculling,m,20,porbeagle shark
4718,1942.0,28,F,Swimming,"Bull shark, 4 m [13'] ",AUSTRALIA,Y,swimming,f,28,Bull shark
4725,1942.0,48,M,Swimming along side N.E.L. vessel Saluda,1.2 m to 1.5 m [4' to 5'] shark,BAHAMAS,N,swimming,m,48,1.2 m to 1.5 m [4' to 5'] shark
4732,1941.0,10,M,Swimming,,AUSTRALIA,N,swimming,m,10,
4733,1941.0,23,M,HMAS Parramatta torpedoed & sunk by the U-559,Tiger shark,SOUTH ATLANTIC OCEAN,N,hmas parramatta torpedoed & sunk by the u-559,m,23,Tiger shark
4740,1941.0,20,M,Swimming at edge of channel,,USA,N,swimming,m,20,
4743,1941.0,43,M,Fishing from 32' boat,2.1 m [7'] shark,USA,N,fishing,m,43,2.1 m [7'] shark
4746,1941.0,53,M,Fishing,Mako shark (aka bonito shark) 1.2 m [4'] ,USA,N,fishing,m,53,Mako shark
4747,1941.0,34,M,Fishing,,AUSTRALIA,N,fishing,m,34,
4749,1941.0,19,M,Rescuing seaman after ship sunk by German raider,,SOUTH ATLANTIC OCEAN,N,rescuing seaman after ship sunk by german raider,m,19,
4755,1941.0,6,M,Slipped off rocks and fell into the water,,IRAN,Y,slipped off rocks and fell into the water,m,6,
4758,1940.0,23,M,Standing on sandbank,,AUSTRALIA,Y,standing,m,23,
4759,1940.0,17,M,Swimming,,SOUTH AFRICA,Y,swimming,m,17,
4762,1940.0,18,M,Bathing,5.5 m [18'] shark,PANAMA,Y,bathing,m,18,5.5 m [18'] shark
4766,1940.0,25,M,Treading water,"White shark, species identity confirmed by tooth pattern",SOUTH AFRICA,Y,treading water,m,25,White shark
4768,1940.0,17,M,Swimming,"White shark, 160-kg [353-lb], identity confirmed by tooth pattern",SOUTH AFRICA,Y,swimming,m,17,White shark
4770,1940.0,55,M,Wading,,AUSTRALIA,Y,wading,m,55,
4771,1940.0,17,M,Dived into the water,"""a small shark""",AUSTRALIA,N,dived into the water,m,17,"""a small shark"""
4772,1940.0,13,M,Swimming,3 m [10'] shark,AUSTRALIA,Y,swimming,m,13,3 m [10'] shark
4773,1940.0,22,M,Swimming,,AUSTRALIA,N,swimming,m,22,
4774,1940.0,18,M,Swimming ,2.4 m [8'] shark,SOUTH AFRICA,Y,swimming,m,18,2.4 m [8'] shark
4782,1939.0,40,M,Swimming,"Questionable incident, said to involve a 6' shark",AUSTRALIA,,swimming,m,40,"questionable incident, said to involve a 6' shark"
4783,1939.0,20,M,Swimming ,2.6 m [8.5'] shark landed 2 hours later,AUSTRALIA,Y,swimming,m,20,2.6 m [8.5'] shark landed 2 hours later
4789,1939.0,27,M,"Free diving for trochus shell, swimming to dinghy","Tiger shark, 4.3 m [14'], 3 tooth fragments retrieved from his wounds",AUSTRALIA,N,swimming,m,27,Tiger shark
4792,1939.0,33,M,Fishing,,USA,N,fishing,m,33,
4794,1939.0,38,M,"Dress diving, filming shark & pulling it through the water for a motion picture scene","Nurse shark, 2.1 m [7']",BAHAMAS,N,"dress diving, filming shark & pulling it through the water for a motion picture scene",m,38,Nurse shark
4797,1939.0,9,M,Dived for a coin,,PAPUA NEW GUINEA,Y,dived for a coin,m,9,
